customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,Yes,No,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,0,Yes,2,-1.1603229160349193,-0.9942419353101233,No
5575-GNVDE,1,0,No,No,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,1,No,3,-0.2596289419448806,-0.17324412574959375,No
3668-QPYBK,1,0,No,No,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,0,Yes,3,-0.3626603559551803,-0.9596740712020441,Yes
7795-CFOCW,1,0,No,No,0.5142514200025698,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1,No,0,-0.7465354629935549,-0.19476626336477718,No
9237-HQITU,0,0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,0,Yes,2,0.19736523310080326,-0.9404697022531111,Yes
9305-CDSKC,0,0,No,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,Yes,2,1.1595456961969886,-0.6451859741727949,Yes
1452-KIOVK,1,0,No,Yes,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,Yes,1,0.8089065291619363,-0.14679948896704018,No
6713-OKOMC,0,0,No,No,-0.9109613101984924,No,No phone service,DSL,Yes,No,No,No,No,No,0,No,3,-1.1636465100352518,-0.8741373704237511,No
7892-POOKP,0,0,Yes,No,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0,Yes,2,1.330710787214099,0.3373492744317471,Yes
6388-TABGU,1,0,No,Yes,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,1,No,0,-0.28621769394753876,0.5324391741681479,No
9763-GRSKD,1,0,Yes,Yes,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,0,Yes,3,-0.4922805219681379,-0.7480728289670203,No
7469-LKBCI,1,0,No,No,-0.6666391278783103,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,1,-1.5225946620711341,-0.8631445247495343,No
8091-TTVAX,1,0,Yes,No,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,No,1,1.182810854199314,1.5006704790038297,No
0280-XJGEX,1,0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,Yes,0,1.2941512532104444,1.2160043388136705,Yes
5129-JLPIS,1,0,No,No,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,Yes,2,1.3539759452164248,0.1784165658888543,No
3655-SNQYZ,0,0,Yes,Yes,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,No,1,1.611554480242174,2.478128710529918,No
8191-XWSZG,0,0,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,3,-1.4660935640654862,-0.5558083996047153,No
9959-WOFKT,1,0,No,Yes,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,2,No,0,1.393859073220412,2.251693748830891,No
4190-MFLUW,0,0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,0,No,1,-0.31779183695069496,-0.774164281952812,Yes
4183-MYFRB,0,0,No,No,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,0,Yes,2,0.8404806721650927,-0.18498748699192968,No
8779-QRDMV,1,1,No,No,-1.2774445836787656,No,No phone service,DSL,No,No,Yes,No,No,Yes,0,Yes,2,-0.8346107040023594,-0.9899154337997889,Yes
1680-VDCWW,1,0,Yes,No,-0.8295205827584317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,0,-1.4943441130683104,-0.9181308271079157,No
1066-JKSGK,1,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,3,-1.4827115340671475,-0.9985242888458623,Yes
3638-WEABW,0,0,Yes,No,1.0436161483629645,Yes,Yes,DSL,No,Yes,No,Yes,No,No,2,Yes,1,-0.1615829189350795,0.5400105518112329,No
6322-HRPFA,1,0,Yes,Yes,0.6771328748826912,Yes,No,DSL,Yes,Yes,No,Yes,No,No,0,No,1,-0.17155370093607614,0.30390718367584674,No
6865-JZNKO,0,0,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,No,No,0,Yes,0,-0.31446824295036285,-0.3316912065719389,No
6467-CHFZW,1,0,Yes,Yes,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0,Yes,2,1.1495749141959914,1.0892334297634156,Yes
8665-UTDHZ,1,0,Yes,Yes,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,0,No,2,-1.1486903370337564,-0.9940874173990399,Yes
5248-YGIJN,1,0,Yes,No,1.6137012404433893,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,1,0.8471278601657574,1.804563062130219,No
8773-HHUOZ,0,0,No,Yes,-0.62591876415828,Yes,No,DSL,No,No,No,No,Yes,Yes,0,Yes,3,-0.0020504069191315333,-0.5248385954261489,Yes
3841-NFECX,0,1,Yes,No,1.5729808767233588,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,2,Yes,1,1.0498670941860242,1.9800512611463297,No
4929-XIHVW,1,1,Yes,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0,Yes,1,1.0216165451832002,-0.9272253098745368,No
6827-IEAUQ,0,0,Yes,Yes,-0.21871512695797646,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,1,No,3,0.046141706085686136,-0.17988839592617856,No
7310-EGVHZ,1,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,0,-1.481049737066981,-0.9985022148585647,No
3413-BMNZE,1,1,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,No,No,No,0,No,0,-0.6484894399837535,-0.9874431472224551,No
6234-RAAPL,0,0,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,2,No,0,1.1678546811978192,2.1940585679967946,No
6047-YHPVI,1,0,No,No,-1.1145631287986442,Yes,No,Fiber optic,No,No,No,No,No,No,0,Yes,2,0.16412929309748078,-0.8675151742344638,Yes
6572-ADKRS,0,0,No,No,0.5549717837226001,Yes,No,Fiber optic,No,No,Yes,No,No,No,0,Yes,1,0.33363258711442517,0.5590824768363802,No
5380-WJKOV,1,0,No,No,0.06632741908223598,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,Yes,2,1.3822264942192488,0.559501882595035,Yes
8168-UQWWF,0,0,No,No,-0.8702409464784621,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,Yes,0,1.099721004191008,-0.5194083945509333,Yes
8865-TNMNX,1,0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,Yes,No,No,No,No,1,No,3,-0.5055748979694671,-0.79740819057721,No
9489-DEDVP,0,0,Yes,Yes,1.5322605130033284,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,2,Yes,1,0.14751132309581955,1.1436237344647615,No
9867-JCZSP,0,0,Yes,Yes,-0.62591876415828,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,3,-1.462769970065154,-0.82277120198218,No
4671-VJLCL,0,0,No,No,1.247217966963116,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,2,Yes,1,0.5014740841312035,1.1388116052338793,No
4080-IIARD,0,0,Yes,No,-0.7888002190384014,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,0,Yes,2,0.3801629031190768,-0.5741298090617433,No
3714-NTNFO,0,0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0,Yes,2,0.6560212051466532,0.7173088177857488,No
5948-UJZLF,1,0,No,No,-1.2367242199587352,Yes,No,DSL,No,Yes,No,No,No,No,0,No,3,-0.5155456799704636,-0.9645965703694143,No
7760-OYPDY,0,0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,Yes,No,0,Yes,2,0.5280628361338618,-0.9437808003477547,Yes
7639-LIAYI,1,0,No,No,0.7992939660427822,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,2,Yes,1,0.4981504901308714,0.8546531667515656,No
2954-PIBKO,0,0,Yes,Yes,1.4915401492832983,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,2,Yes,1,-0.020330173920958795,0.8706788815296407,No
8012-SOUDQ,0,1,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,Yes,2,0.8471278601657574,0.687310269048278,No
9420-LOJKX,0,0,No,No,-0.7073594915983407,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,0,Yes,1,1.141265929195161,-0.3776933961001872,Yes
6575-SUVOI,0,1,Yes,No,-0.30015585439803716,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,0,Yes,1,0.1574821050968162,-0.23366062898319062,No
7495-OOKFY,0,1,Yes,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,0,Yes,1,0.5280628361338618,-0.7278309826150992,Yes
4667-QONEA,0,1,Yes,Yes,1.125056875803025,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,1,Yes,1,0.33529438411459117,0.9599681601485298,No
1658-BYGOY,1,1,No,No,-0.5851984004382496,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,Yes,2,1.0199547481830342,-0.2337047769577859,Yes
8769-KKTPH,0,0,Yes,Yes,1.247217966963116,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,1,Yes,1,1.1595456961969886,1.7788468669284871,No
5067-XJQFU,1,1,Yes,Yes,1.369379058123207,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,Yes,2,1.4520219682262263,2.116645094544028,No
3957-SQXML,0,0,Yes,Yes,0.06632741908223598,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,1,-1.3231790220511994,-0.612604768921502,No
5954-BDFSG,0,0,No,No,1.6137012404433893,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,2,Yes,1,1.42044782522307,2.4598293750601874,No
0434-CSFON,0,0,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,Yes,2,1.1877962451998125,1.070669206446114,No
1215-FIGMP,1,0,No,No,1.125056875803025,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,Yes,0,0.8354952811645946,1.398953545536378,No
0526-SXDJP,1,0,Yes,No,1.6137012404433893,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,2,No,0,-0.7531826509942192,0.3002429017844411,No
0557-ASKVU,0,0,Yes,Yes,-0.5851984004382496,Yes,No,DSL,No,No,Yes,Yes,No,No,1,Yes,1,-0.34438058895335305,-0.5848798408756862,No
5698-BQJOH,0,0,No,No,-0.9516816739185228,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,No,2,0.9850570111795457,-0.6289615935090412,Yes
5122-CYFXA,0,0,No,No,-1.1960038562387048,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,0,Yes,2,0.3502505571160864,-0.8996548997398044,No
8627-ZYGSZ,1,0,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,1,Yes,2,0.46989994112804756,0.6041354849108307,No
3410-YOQBQ,0,0,No,No,-0.055833672077855064,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2,No,3,0.47987072312904416,0.09504311586572828,No
3170-NMYVV,0,0,Yes,Yes,0.7178532386027215,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,0,-1.4827115340671475,-0.5964466102196411,No
7410-OIEDU,1,0,No,No,-0.9109613101984924,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,0,Yes,3,0.5014740841312035,-0.6156730531558716,No
2273-QCKXA,1,0,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,Yes,No,No,0,No,3,-0.5221928679711283,-0.9857655241878356,No
0731-EBJQB,0,0,Yes,Yes,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,2,-1.4744025490663168,-0.5259202208037324,No
1891-QRQSA,1,1,Yes,Yes,1.2879383306831464,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,2,Yes,0,1.5567151792366918,2.1266446107898513,No
8028-PNXHQ,1,0,Yes,Yes,1.2064976032430856,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,0,-1.3464441800535252,-0.3784880596429018,No
5630-AHZIL,0,0,No,Yes,-1.1960038562387048,Yes,No,DSL,Yes,No,No,Yes,No,Yes,0,Yes,0,-0.00869759491979612,-0.9291015987948348,No
2673-CXQEU,0,1,No,No,0.9621754209229036,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,1,No,2,1.5201556452330371,1.7030447945484464,No
6416-JNVRK,0,0,No,No,0.5549717837226001,Yes,No,DSL,No,No,No,No,No,Yes,1,No,1,-0.3028356639492,0.1796527091775211,No
